2	4591	234	1407
2	4574	34	29
2	4566	2000	1804
2	4550	33	19
2	4544	47	20
2	4531	1995	623
2	4528	480	152
2	4503	320	70
2	4495	180	39
2	4493	93	19
2	4492	93	19
2	4482	800	138
3	4683	4300	2
3	4680	2150	1
36	5419	700	469
36	5408	52	20
36	5390	510	81
36	5340	522	26
36	5325	180	8
8	5132	68	8
8	5131	60	7
8	5130	60	6
8	5129	23	2
8	5128	90	7
8	5126	396	27
8	5124	440	24
8	5121	160	8
8	5120	43	2
8	5119	47	3
8	5112	6300	217
8	5110	70	3
8	5109	420	14
8	5108	292	9
8	5107	146	4
8	5105	73	3
8	5104	80	2
8	5101	166	4
8	5098	87	2
8	5097	261	6
